label,position,mem_mean,cp_mean,diff_mean,mem_std,cp_std,diff_std
L0H0,0,1.9592613170971163e-05,1.964564035006333e-05,5.302646499671937e-08,5.870230097571039e-07,6.224994990589039e-07,8.024301223485963e-07
L0H0,1,2.033731470874045e-05,2.0036432033521123e-05,-3.008792077707767e-07,1.1892788052136893e-06,7.979213592079759e-07,1.1414040272939019e-06
L0H0,2,1.639664696995169e-05,1.6051168131525628e-05,-3.4547946370366844e-07,8.554515261494089e-06,8.32662499306025e-06,1.286084511775698e-06
L0H0,3,2.0422630768734962e-05,2.017099723161664e-05,-2.5163589612020587e-07,9.786646160137025e-07,7.819665484021243e-07,9.898437838273821e-07
L0H0,4,2.0175848476355895e-05,2.0041956304339692e-05,-1.338900261771414e-07,8.640336659482273e-07,8.188063134184631e-07,6.567217383235402e-07
L0H0,5,2.713747562665958e-05,2.1889161871513352e-05,-5.248312845651526e-06,8.553888619644567e-06,9.37123445510224e-07,8.554461601306684e-06
L0H0,6,2.0281149772927165e-05,2.0496241631917655e-05,2.1509315217826952e-07,8.454221074316592e-07,8.999010674415331e-07,8.976551839623426e-07
L0H0,7,2.0396715626702644e-05,2.048300848400686e-05,8.62918909660948e-08,7.54406642045069e-07,7.359536766671226e-07,7.956346053106245e-07
L0H0,8,7.495241902688576e-07,7.513505693168554e-07,1.8263575096710838e-09,3.828260105365189e-06,3.837739768641768e-06,9.221875529874524e-08
L0H0,9,2.042443520622328e-05,2.0329531253082678e-05,-9.490513974697024e-08,8.423083954767208e-07,6.708809223709977e-07,7.925714271550532e-07
L0H0,10,1.6392228644690476e-05,1.6295574823743664e-05,-9.665516387258322e-08,8.501927368342876e-06,8.441174031759147e-06,8.921905987335776e-07
L0H0,11,2.047224552370608e-05,2.0410501747392118e-05,-6.174379052481527e-08,7.93455683378852e-07,7.397740091619198e-07,7.809958901816572e-07
L0H0,12,1.9775130567722954e-05,1.9695633454830386e-05,-7.949762448333786e-08,3.8296352613542695e-06,3.8000905533408513e-06,7.887382480475935e-07
L0H0,13,2.0214542018948123e-05,2.0196515833958983e-05,-1.80264176918854e-08,5.195159360482648e-07,5.184645033295965e-07,6.035759270162089e-07
L0H1,0,1.8166594600188546e-05,1.811287620512303e-05,-5.371925837494018e-08,8.674105629324913e-07,8.826169732856215e-07,1.1182506796103553e-06
L0H1,1,1.8942562746815383e-05,1.8205602827947587e-05,-7.369603736151475e-07,1.7767982853911235e-06,1.8871992324420717e-06,1.9122735466226004e-06
L0H1,2,1.4568844562745653e-05,1.4433101569011342e-05,-1.357435479576452e-07,7.754642865620553e-06,7.670407285331748e-06,1.6774492905824445e-06
L0H1,3,1.9437326045590453e-05,1.924362550198566e-05,-1.9369883830222534e-07,1.8450645029588486e-06,1.854396714406903e-06,1.8533999082137598e-06
L0H1,4,1.9370094378245994e-05,1.9276554667158052e-05,-9.353940555456575e-08,1.3535989182855701e-06,1.3310851727510453e-06,1.4132527894616942e-06
L0H1,5,2.713747562665958e-05,2.1889161871513352e-05,-5.248312845651526e-06,8.553888619644567e-06,9.37123445510224e-07,8.554461601306684e-06
L0H1,6,1.8746515706880018e-05,1.9855902792187408e-05,1.1093870853073895e-06,2.1077942164993146e-06,2.047867383225821e-06,2.1422538338811137e-06
L0H1,7,2.1620860934490338e-05,2.1563111658906564e-05,-5.775189038104145e-08,1.56950363816577e-06,1.5265809452102985e-06,1.904778287098452e-06
L0H1,8,7.537512374256039e-07,7.506342853957904e-07,-3.1169682390697062e-09,3.8510797821800224e-06,3.834989001916256e-06,1.2796519399671524e-07
L0H1,9,1.92010156752076e-05,1.8629916667123325e-05,-5.710996333618823e-07,1.4054990060685668e-06,1.4716900977873593e-06,1.4981833373894915e-06
L0H1,10,1.498225174145773e-05,1.4870898667140864e-05,-1.1135173139109611e-07,7.834579264454078e-06,7.769673175062053e-06,1.1783458830905147e-06
L0H1,11,1.96342352865031e-05,1.9486426026560366e-05,-1.4780955837068177e-07,1.3313300541994977e-06,1.3442067938740365e-06,1.3526401971830637e-06
L0H1,12,1.910464015963953e-05,1.904263444885146e-05,-6.200691871072195e-08,3.8171983760548756e-06,3.8233624763961416e-06,1.288169301005837e-06
L0H1,13,2.0659008441725746e-05,2.0530016627162695e-05,-1.2899201351501688e-07,1.148444084719813e-06,1.0816261237778235e-06,1.4499395319944597e-06
L0H2,0,2.009571107919328e-05,2.006836439250037e-05,-2.7345949504820055e-08,7.927439469312958e-07,8.245397111750208e-07,9.096127087104833e-07
L0H2,1,2.024702735070605e-05,1.9946273823734373e-05,-3.007525606335548e-07,9.334677883998665e-07,9.279312394028238e-07,1.134600324803614e-06
L0H2,2,1.615545988897793e-05,1.5708072169218212e-05,-4.4738814608535904e-07,8.44160695123719e-06,8.160470315488055e-06,1.5511968740611337e-06
L0H2,3,2.0125904484302737e-05,1.984853770409245e-05,-2.77365302281396e-07,8.912992370824213e-07,8.189207392206299e-07,1.0838485877684434e-06
L0H2,4,1.9781016817432828e-05,1.963837530638557e-05,-1.4263869729802536e-07,8.645705520393676e-07,8.7512336222062e-07,7.723912744950212e-07
L0H2,5,2.713747562665958e-05,2.1889161871513352e-05,-5.248312845651526e-06,8.553888619644567e-06,9.37123445510224e-07,8.554461601306684e-06
L0H2,6,2.0098303139093332e-05,2.025154208240565e-05,1.5323941227052273e-07,9.88743295238237e-07,8.987656769932073e-07,1.277104615837743e-06
L0H2,7,1.966129639185965e-05,1.965817682503257e-05,-3.1165086067375114e-09,4.796212351720897e-07,5.320445666257001e-07,7.024864316917956e-07
L0H2,8,7.471200547115586e-07,7.426662023135577e-07,-4.453841295770644e-09,3.81674408345134e-06,3.793694531850633e-06,1.1743148320420005e-07
L0H2,9,2.027907430601772e-05,2.002721703320276e-05,-2.5185900653923454e-07,8.505018058713176e-07,9.026620091390214e-07,1.1335044973748154e-06
L0H2,10,1.6101386790978722e-05,1.5792316844454035e-05,-3.090702875852003e-07,8.371343938051723e-06,8.181335033441428e-06,1.265752871404402e-06
L0H2,11,2.004464840865694e-05,1.9904950022464618e-05,-1.3969761880616716e-07,7.160307973208546e-07,6.986016956034291e-07,9.046303830473335e-07
L0H2,12,1.885120218503289e-05,1.883607001218479e-05,-1.5132485486901714e-08,3.623158590926323e-06,3.6247049592930125e-06,7.03029002124822e-07
L0H2,13,1.9632971088867635e-05,1.960952431545593e-05,-2.3445011265721405e-08,4.897103167422756e-07,5.177371917852724e-07,6.143874884401157e-07
L0H3,0,1.9325745597598143e-05,1.9250866898801178e-05,-7.487901143576892e-08,8.44325711568672e-07,8.40437508031755e-07,1.0489802662050352e-06
L0H3,1,2.1423844373202883e-05,2.0414830942172557e-05,-1.009014113151352e-06,1.7749850940163014e-06,1.5412376797030447e-06,1.712774519546656e-06
