layer,head,source_position,dest_position,value
9,6,0,0,0.3262181282043457
9,6,0,1,0.0007423438364639878
9,6,0,2,0.0
9,6,0,3,0.0
9,6,0,4,7.426087540807202e-05
9,6,0,5,1.1759798326238524e-06
9,6,0,6,4.789595550391823e-06
9,6,0,7,1.8905088836618233e-06
9,6,0,8,0.0
9,6,0,9,3.5746529647440184e-06
9,6,0,10,0.0
9,6,0,11,0.0007423438364639878
9,6,0,12,3.0710486953466898e-06
9,6,0,13,0.0
9,6,1,0,0.31889808177948
9,6,1,1,0.018348801881074905
9,6,1,2,0.0
9,6,1,3,0.0004607820592354983
9,6,1,4,7.527097477577627e-05
9,6,1,5,0.0
9,6,1,6,0.0
9,6,1,7,0.0
9,6,1,8,0.0
9,6,1,9,0.0
9,6,1,10,0.0
9,6,1,11,0.0008028903976082802
9,6,1,12,0.0
9,6,1,13,0.0
9,6,2,0,0.25182801485061646
9,6,2,1,0.00848363246768713
9,6,2,2,0.004235957749187946
9,6,2,3,0.0020525571890175343
9,6,2,4,0.000516523839905858
9,6,2,5,6.302010297076777e-05
9,6,2,6,0.0003174089943058789
9,6,2,7,2.6599616830935702e-05
9,6,2,8,1.1140949936816469e-05
9,6,2,9,0.0
9,6,2,10,0.0
9,6,2,11,0.0
9,6,2,12,0.0
9,6,2,13,0.0
9,6,3,0,0.3111250698566437
9,6,3,1,0.013665691018104553
9,6,3,2,0.0057500251568853855
9,6,3,3,0.013478861190378666
9,6,3,4,6.337780359899625e-05
9,6,3,5,3.189347353327321e-06
9,6,3,6,0.00010901669156737626
9,6,3,7,2.90249317913549e-06
9,6,3,8,0.0
9,6,3,9,1.32918182771391e-06
9,6,3,10,0.0
9,6,3,11,0.0006433864473365247
9,6,3,12,8.233582775574178e-06
9,6,3,13,6.556642802024726e-07
9,6,4,0,0.30946749448776245
9,6,4,1,0.023523861542344093
9,6,4,2,0.004354508128017187
9,6,4,3,0.010043762624263763
9,6,4,4,0.004809234756976366
9,6,4,5,0.0007240755949169397
9,6,4,6,0.0
9,6,4,7,0.0
9,6,4,8,0.0
9,6,4,9,2.712365130719263e-06
9,6,4,10,0.0
9,6,4,11,0.0007853795541450381
9,6,4,12,8.976306276053947e-07
9,6,4,13,0.0
9,6,5,0,0.28074657917022705
9,6,5,1,0.10528500378131866
9,6,5,2,0.006311074364930391
9,6,5,3,0.01301693357527256
9,6,5,4,0.002789073158055544
9,6,5,5,0.00326797878369689
9,6,5,6,0.0
9,6,5,7,0.0
9,6,5,8,0.0
9,6,5,9,1.1635776218099636e-06
9,6,5,10,0.0
9,6,5,11,0.0007763848407194018
9,6,5,12,1.376845261802373e-06
9,6,5,13,0.0
9,6,6,0,0.30308330059051514
9,6,6,1,0.014186796732246876
9,6,6,2,0.007457350380718708
9,6,6,3,0.009550846181809902
9,6,6,4,0.004020716529339552
9,6,6,5,0.00340904644690454
9,6,6,6,0.016797369346022606
9,6,6,7,0.0
9,6,6,8,0.0
9,6,6,9,1.006471052278357e-06
9,6,6,10,0.0
9,6,6,11,0.0007607107399962842
9,6,6,12,2.1637340523739113e-06
9,6,6,13,0.0
9,6,7,0,0.23201516270637512
9,6,7,1,0.1104389876127243
9,6,7,2,0.02029530517756939
9,6,7,3,0.035387638956308365
9,6,7,4,0.006477706599980593
9,6,7,5,0.0010111178271472454
9,6,7,6,0.07311955839395523
9,6,7,7,0.009017006494104862
9,6,7,8,0.00875423476099968
9,6,7,9,1.5335735952248797e-05
9,6,7,10,0.0
9,6,7,11,0.0006150648114271462
9,6,7,12,9.773725651029963e-06
9,6,7,13,0.0
9,6,8,0,0.23304295539855957
9,6,8,1,0.10686514526605606
9,6,8,2,0.020097235217690468
9,6,8,3,0.03408316150307655
9,6,8,4,0.006466693710535765
9,6,8,5,0.0010600851383060217
9,6,8,6,0.06956272572278976
9,6,8,7,0.008841387927532196
9,6,8,8,0.008749620988965034
9,6,8,9,0.0
9,6,8,10,0.0
9,6,8,11,0.0
9,6,8,12,0.0
9,6,8,13,0.0
9,6,9,0,0.23193280398845673
9,6,9,1,0.012843672186136246
9,6,9,2,0.07922637462615967
9,6,9,3,0.07787685096263885
9,6,9,4,0.0038481573574244976
9,6,9,5,0.0006623047520406544
9,6,9,6,0.011515390127897263
9,6,9,7,0.002672191010788083
9,6,9,8,0.002610786585137248
9,6,9,9,0.00595097616314888
9,6,9,10,0.0
9,6,9,11,0.0009394064545631409
9,6,9,12,7.700793247522597e-08
9,6,9,13,0.0
9,6,10,0,0.18634770810604095
9,6,10,1,0.007682095747441053
9,6,10,2,0.013536340557038784
9,6,10,3,0.11382041126489639
9,6,10,4,0.01343509741127491
9,6,10,5,0.001155009143985808
9,6,10,6,0.02268957532942295
9,6,10,7,0.002207318553701043
9,6,10,8,0.0021849072072654963
9,6,10,9,0.003026403486728668
9,6,10,10,0.0015953885158523917
9,6,10,11,0.0001950170553755015
9,6,10,12,0.000136796006700024
9,6,10,13,2.4114275220199488e-05
9,6,11,0,0.2875702977180481
9,6,11,1,0.010389304719865322
9,6,11,2,0.008320197463035583
9,6,11,3,0.008030676282942295
9,6,11,4,0.0297310221940279
9,6,11,5,0.002454478293657303
9,6,11,6,0.005371893290430307
9,6,11,7,0.005297292489558458
9,6,11,8,0.005115471314638853
9,6,11,9,0.004229898564517498
9,6,11,10,0.0006749077001586556
9,6,11,11,0.003674312960356474
9,6,11,12,0.0
9,6,11,13,4.604889056736283e-07
9,6,12,0,0.25778040289878845
9,6,12,1,0.012163874693214893
9,6,12,2,0.007573282811790705
9,6,12,3,0.0030145489145070314
9,6,12,4,0.05340142548084259
9,6,12,5,0.005263297352939844
9,6,12,6,0.018306005746126175
9,6,12,7,0.005581834819167852
9,6,12,8,0.005577675066888332
9,6,12,9,0.0047375475987792015
9,6,12,10,0.00034623389365151525
9,6,12,11,0.0014347705291584134
9,6,12,12,0.0011600374709814787
9,6,12,13,0.0
9,6,13,0,0.19354063272476196
9,6,13,1,0.06991622596979141
9,6,13,2,0.0033393229823559523
9,6,13,3,0.006002823356539011
9,6,13,4,0.00271416618488729
9,6,13,5,0.0013769955839961767
9,6,13,6,0.28931909799575806
9,6,13,7,0.0024607540108263493
9,6,13,8,0.0023763133212924004
9,6,13,9,0.02402537129819393
9,6,13,10,0.0003833261434920132
9,6,13,11,0.0013201443944126368
9,6,13,12,0.00027852848870679736
9,6,13,13,0.0004611846525222063
9,9,0,0,0.3262181282043457
9,9,0,1,0.0007153110345825553
9,9,0,2,0.0
9,9,0,3,0.0
9,9,0,4,7.364847988355905e-05
9,9,0,5,1.0598066182865296e-05
9,9,0,6,1.73818887105881e-06
9,9,0,7,2.9805951271555386e-06
9,9,0,8,0.0
9,9,0,9,2.2429794626077637e-06
9,9,0,10,0.0
9,9,0,11,0.0007153110345825553
9,9,0,12,4.478401933738496e-06
9,9,0,13,0.0
9,9,1,0,0.32146307826042175
9,9,1,1,0.013093509711325169
9,9,1,2,0.0
9,9,1,3,0.00039618188748136163
9,9,1,4,7.527097477577627e-05
9,9,1,5,0.0
9,9,1,6,0.0
9,9,1,7,0.0
9,9,1,8,0.0
9,9,1,9,0.0
9,9,1,10,0.0
9,9,1,11,0.0008028903976082802
9,9,1,12,0.0
9,9,1,13,0.0
9,9,2,0,0.25397250056266785
9,9,2,1,0.005958258174359798
9,9,2,2,0.00449778325855732
9,9,2,3,0.0017490244936197996
9,9,2,4,0.00045904601574875414
9,9,2,5,4.066328619956039e-05
9,9,2,6,0.00027374658384360373
9,9,2,7,4.8381338274339214e-05
9,9,2,8,3.165259840898216e-05
9,9,2,9,0.0
9,9,2,10,0.0
9,9,2,11,0.0
9,9,2,12,0.0
9,9,2,13,0.0
9,9,3,0,0.31692078709602356
9,9,3,1,0.006957918871194124
9,9,3,2,0.0036236385349184275
9,9,3,3,0.013779902830719948
9,9,3,4,6.880849105073139e-05
9,9,3,5,4.339392489782767e-06
9,9,3,6,4.402416379889473e-05
9,9,3,7,1.456363133911509e-05
9,9,3,8,0.0
9,9,3,9,2.394944203842897e-06
9,9,3,10,0.0
9,9,3,11,0.0007007508538663387
9,9,3,12,5.117831278766971e-06
9,9,3,13,1.6361321968361153e-06
9,9,4,0,0.31496506929397583
9,9,4,1,0.013898489065468311
9,9,4,2,0.0037248076405376196
9,9,4,3,0.007057507056742907
9,9,4,4,0.0038594461511820555
9,9,4,5,0.0004465969104785472
9,9,4,6,0.0
